cod_aerolinea,nombre_aerolinea,cod_pais,cod_iata,cod_icao,identificacion,pais_aerolinea,sw_activa
01003,Aeronavigaciya,UKR,Z9,KTN,AERONAVIGACIYA,Ukraine,N
01004,Alliance Avia,KAZ,Z9,KVR,KAVAIR,Kazakhstan,N
01005,Av Atlantic,USA,Z9,KYC,DOLPHIN,United States,N
01006,Air Astana,KAZ,KC,KZR,ASTANALINE,Kazakhstan,Y
01007,Aerovias De Lagos,MEX,Z9,LAG,AEROLAGOS,Mexico,N
01008,Albanian Airlines,ALB,LV,LBC,ALBANIAN,Albania,Y
01009,Albisa,MEX,Z9,LBI,ALBISA,Mexico,N
01010,Albatros Airways,ALB,Z9,LBW,ALBANWAYS,Albania,N
01011,Aerolineas Aereas Ejecutivas De Durango,MEX,Z9,LDG,DURANGO,Mexico,N
01012,Aerologic,RUS,Z9,LDL,I999,Russia,N
01013,Al-Donas Airlines,NGA,Z9,LDN,ALDONAS AIR,Nigeria,N
01014,Aero Lider,MEX,Z9,LDR,AEROLIDER,Mexico,N
01015,Aleem,EGY,Z9,LEM,I999,Egypt,N
01016,Aerolineas Ejecutivas,MEX,Z9,LET,MEXEJECUTIV,Mexico,N
01017,Air Alfa,TUR,Z9,LFA,I999,Turkey,Y
01018,Aero Control Air,CAN,Z9,LFC,LIFE FLIGHT CANADA,Canada,N
01019,Aerolaguna,MEX,Z9,LGN,AEROLAGUNA,Mexico,N
01020,Al Ahram Aviation,EGY,Z9,LHR,AL AHRAM,Egypt,N
01021,Alidaunia,ITA,D4,LID,ALIDA,Italy,N
01022,Al-Dawood Air,NGA,Z9,LIE,AL-DAWOOD AIR,Nigeria,N
01023,American Aviation,USA,Z9,LKP,LAKE POWELL,United States,N
01024,Airlink Solutions,ESP,Z9,LKS,AIRLIN,Spain,N
01025,Air Solutions,USA,Z9,LKY,LUCKY,United States,N
01026,Alliance Air,IND,CD,LLR,ALLIED,India,N
01027,Aerolima,MEX,Z9,LMA,AEROLIMA,Mexico,N
01028,Alamia Air,LBY,Z9,LML,ALAMIA AIR,Libya,N
01029,Air Plus Argentina,ARG,Z9,LMP,AIR FLIGHT,Argentina,N
01030,Almaty Aviation,KAZ,Z9,LMT,ALMATY,Kazakhstan,N
01031,Aerolineas Mexicanas J S,MEX,Z9,LMX,LINEAS MEXICANAS,Mexico,N
01032,Air Almaty,KAZ,Z9,LMY,AGLEB,Kazakhstan,N
