cod_aerolinea,nombre_aerolinea,cod_pais,cod_iata,cod_icao,identificacion,pais_aerolinea,sw_activa
00001,Private flight,Z99,Z9,Z99,I999,,Y
00002,135 Airways,USA,Z9,GNL,GENERAL,United States,N
00003,1Time Airline,ZAF,1T,RNX,NEXTIME,South Africa,Y
00004,2 Sqn No 1 Elementary Flying Training School,GBR,Z9,WYT,I999,United Kingdom,N
00005,213 Flight Unit,RUS,Z9,TFU,I999,Russia,N
00006,223 Flight Unit State Airline,RUS,Z9,CHD,CHKALOVSK-AVIA,Russia,N
00007,224th Flight Unit,RUS,Z9,TTF,CARGO UNIT,Russia,N
00008,247 Jet Ltd,GBR,Z9,TWF,CLOUD RUNNER,United Kingdom,N
00009,3D Aviation,USA,Z9,SEC,SECUREX,United States,N
00010,40-Mile Air,USA,Q5,MLA,MILE-AIR,United States,Y
00011,4D Air,THA,Z9,QRT,QUARTET,Thailand,N
00012,611897 Alberta Limited,CAN,Z9,THD,DONUT,Canada,N
00013,Ansett Australia,AUS,AN,AAA,ANSETT,Australia,Y
00014,Abacus International,SGP,1B,Z99,I999,Singapore,Y
00015,Abelag Aviation,BEL,W9,AAB,ABG,Belgium,N
00016,Army Air Corps,GBR,Z9,AAC,ARMYAIR,United Kingdom,N
00017,Aero Aviation Centre Ltd.,CAN,Z9,AAD,SUNRISE,Canada,N
00018,Aero Servicios Ejecutivos Internacionales,MEX,Z9,SII,ASEISA,Mexico,N
00019,Aero Biniza,MEX,Z9,BZS,BINIZA,Mexico,N
00020,Aero Albatros,ESP,Z9,ABM,ALBATROS ESPANA,Spain,N
00021,Aigle Azur,FRA,ZI,AAF,AIGLE AZUR,France,Y
00022,Aloha Airlines,USA,AQ,AAH,ALOHA,United States,Y
00023,Alaska Island Air,USA,Z9,AAK,ALASKA ISLAND,United States,N
00024,American Airlines,USA,AA,AAL,AMERICAN,United States,Y
00025,Aviation Management Corporation,USA,Z9,AAM,AM CORP,United States,N
00026,Atlantis Airlines (USA),USA,Z9,AAO,ATLANTIS AIR,United States,N
00027,Aerovista Airlines,ARE,Z9,AAP,AEROVISTA GROUP,United Arab Emirates,N
00028,Asiana Airlines,Z99,OZ,AAR,ASIANA,Republic of Korea,Y
00029,Askari Aviation,PAK,4K,AAS,AL-AAS,Pakistan,Y
00030,Australia Asia Airlines,AUS,Z9,AAU,AUSTASIA,Australia,N
00031,Astro Air International,USA,Z9,AAV,ASTRO-PHIL,United States,N
00032,Afriqiyah Airways,LBY,8U,AAW,AFRIQIYAH,Libya,Y
00033,Afrinat International Airlines,GMB,Q9,AFU,I999,Gambia,N
00034,Afric'air Express,Z99,Z9,AAX,AFREX,Ivory Coast,N
00035,Allegiant Air,USA,G4,AAY,ALLEGIANT,United States,Y
00036,Angus Aviation,CAN,Z9,AAZ,ANGUS,Canada,N
00037,Artem-Avia,UKR,Z9,ABA,ARTEM-AVIA,Ukraine,N
00038,African Business and Transportations,Z99,Z9,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
00039,Aban Air,IRN,K5,ABE,ABAN,Iran,N
00040,Aerial Oy,FIN,Z9,ABF,SKYWINGS,Finland,N
00041,Abakan-Avia,RUS,Z9,ABG,ABAKAN-AVIA,Russia,N
00042,ABSA - Aerolinhas Brasileiras,BRA,M3,TUS,ABSA Cargo,Brazil,Y
00043,Abaet,BRA,Z9,ABJ,Abaet,Brazil,N
00044,Alberta Citylink,CAN,Z9,ABK,ALBERTA CITYLINK,Canada,N
00045,APSA Colombia,COL,Z9,ABO,AEROEXPRESO,Colombia,N
00046,Aerovias Bueno,COL,Z9,ABU,AEROBUENO,Colombia,N
00047,Aerocenter,Z99,Z9,ACR,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
00048,Antrak Air,GHA,04,ABV,ANTRAK,Ghana,N
00049,Airborne Express,USA,GB,ABX,ABEX,United States,N
00050,ABX Air,USA,GB,ABX,ABEX,United States,N
00051,ATA Brasil,BRA,Z9,ABZ,ATA-BRAZIL,Brazil,N
00052,Avcard Services,GBR,Z9,ACC,I999,United Kingdom,N
00053,Academy Airlines,USA,Z9,ACD,ACADEMY,United States,N
00054,Aero Comondu,MEX,Z9,ACO,AERO COMONDU,Mexico,N
00055,Astral Aviation,KEN,8V,ACP,ASTRAL CARGO,Kenya,Y
00056,Air Cess,LBR,Z9,ACS,I999,Liberia,N
00057,Air Aurora,USA,Z9,AAI,BOREALIS,United States,N
00058,Air Cargo Transportation System,KEN,Z9,ACU,AFRISPIRIT,Kenya,N
00059,Air Charter Service,GBR,Z9,ACV,I999,United Kingdom,N
00060,Aero Asia International,PAK,E4,RSO,AERO ASIA,Pakistan,N
00061,Air Charters,CAN,Z9,ACX,PARAIR,Canada,N
00062,Air Togo,TGO,YT,TGA,AIR TOGO,Togo,N
00063,Air Somalia,Z99,Z9,RSM,AIR SOMALIA,Somali Republic,N
00064,Atlas Cargo Lines,MAR,Z9,ACY,ATLAS CARGOLINES,Morocco,N
00065,Airservices Australia,AUS,Z9,ADA,AUSCAL,Australia,N
00066,Advance Leasing Company,USA,4G,Z99,I999,United States,N
00067,Aztec Worldwide Airlines,USA,7A,Z99,I999,United States,N
00068,Air Tindi,Z99,8T,Z99,I999,Canadian Territories,Y
00069,Antonov Airlines,UKR,Z9,ADB,ANTONOV BUREAU,Ukraine,N
00070,Air Atlantic Dominicana,DOM,Z9,ADC,ATLAN-DOMINICAN,Dominican Republic,N
00071,Advanced Air Co.,JPN,Z9,ADD,I999,Japan,N
00072,Ada Air,ALB,ZY,ADE,ADA AIR,Albania,Y
00073,Aerea Flying Training Organization,ESP,Z9,ADG,AEREA TRAINING,Spain,N
00074,Audeli Air,ESP,Z9,ADI,AUDELI,Spain,N
00075,Abicar,Z99,Z9,ADJ,ABICAR,Ivory Coast,N
00076,ADC Airlines,NGA,Z7,ADK,ADCO,Nigeria,N
00077,Aero Dynamics,GBR,Z9,ADL,COTSWOLD,United Kingdom,N
00078,Aerolineas Dominicanas,DOM,Z9,ADM,DOMINAIR,Dominican Republic,N
00079,Aerodienst GmbH,DEU,Z9,ADN,AERODIENST,Germany,N
00080,Aerodiplomatic,MEX,Z9,ADP,AERODIPLOMATIC,Mexico,N
00081,Aerodyne,USA,Z9,ADY,AERODYNE,United States,N
00082,Avion Taxi,CAN,Z9,ADQ,AIR DATA,Canada,N
00083,Adria Airways,SVN,JP,ADR,ADRIA,Slovenia,Y
00084,Aviones de Sonora,MEX,Z9,ADS,SONORAV,Mexico,N
00085,Air Dorval,CAN,Z9,ADT,AIR DORVAL,Canada,N
00086,Airdeal Oy,FIN,Z9,ADU,AIRDEAL,Finland,N
00087,Advance Air Charters,CAN,Z9,ADV,ADVANCE,Canada,N
00088,Air Andaman,THA,Z9,ADW,AIR ANDAMAN,Thailand,N
00089,Anderson Aviation,USA,Z9,ADX,ANDAX,United States,N
00090,Air Europa,ESP,UX,AEA,EUROPA,Spain,Y
00091,Air Southwest Ltd.,CAN,Z9,ASW,AIRSOUTHWEST,Canada,N
00092,Air Special,CZE,Z9,ASX,AIRSPEC,Czech Republic,N
00093,Aero Benin,BEN,EM,AEB,AEROBEN,Benin,Y
00094,Aerocesar,Z99,Z9,AEC,Aerovias Del Cesar,AEROCESAR,N
00095,Aerotrans Airlines,RUS,Z9,AED,I999,Russia,N
00096,Aegean Airlines,GRC,A3,AEE,AEGEAN,Greece,Y
00097,Aerofumigaciones Sam,CHL,Z9,AEG,FUMIGACIONES SAM,Chile,N
00098,Aeroexpreso Interamericano,COL,Z9,AEI,INTERAM,Colombia,N
00099,Air Express,TZA,Z9,AEJ,KHAKI EXPRESS,Tanzania,N
00100,Aerocon,BOL,Z9,AEK,AEROCON,Bolivia,N
00101,Aero Madrid,ESP,Z9,AEM,AEROMADRID,Spain,N
00102,Aeroenlaces Nacionales,MEX,Z9,AEN,I999,Mexico,N
00103,Aeroservicios Ejecutivos Del Occidente,MEX,Z9,AEO,AERO OCCIDENTE,Mexico,N
00104,Aerotec,ESP,Z9,AEP,AEROTEC,Spain,N
00105,Air Atlantique,GBR,KI,AAG,ATLANTIC,United Kingdom,N
00106,Air Europe,ITA,PE,AEL,AIR EUROPE,Italy,Y
00107,Air Alma,CAN,Z9,AAJ,AIR ALMA,Canada,N
00108,Air Express,SWE,Z9,AEQ,LUNA,Sweden,N
00109,Alaska Central Express,USA,KO,AER,ACE AIR,United States,Y
00110,ACES Colombia,COL,Z9,AES,ACES,Colombia,Y
00111,Aeronautical Radio of Thailand,THA,Z9,AET,AEROTHAI,Thailand,N
00112,Astraeus,GBR,5W,AEU,FLYSTAR,United Kingdom,Y
00113,Aeroventas,MEX,Z9,AEV,AEROVENTAS,Mexico,N
00114,Aerosvit Airlines,UKR,VV,AEW,AEROSVIT,Ukraine,Y
00115,Airway Express,USA,Z9,AEX,AVCO,United States,N
00116,Air Italy,ITA,I9,AEY,AIR ITALY,Italy,Y
00117,Aerial Transit Company,USA,Z9,AEZ,AERIAL TRANZ,United States,N
00118,Alfa Air,CZE,Z9,AFA,BLUE ALFA,Czech Republic,N
00119,American Falcon,ARG,WK,AFB,AMERICAN FALCON,Argentina,N
00120,Alliance Airlines,AUS,QQ,UTY,UNITY,Australia,Y
00121,Air Universal,SLE,Z9,UVS,UNI-LEONE,Sierra Leone,N
00122,Auvia Air,IDN,Z9,UVT,AUVIA,Indonesia,N
00123,African West Air,SEN,Z9,AFC,AFRICAN WEST,Senegal,N
00124,Airfast Indonesia,IDN,Z9,AFE,AIRFAST,Indonesia,N
00125,Ariana Afghan Airlines,AFG,FG,AFG,ARIANA,Afghanistan,Y
00126,Air Fecteau,CAN,Z9,AFH,FECTO,Canada,N
00127,Africaone,UGA,Z9,AFI,AFRICAWORLD,Uganda,N
00128,Alliance,UGA,Z9,AFJ,JAMBO,Uganda,N
00129,Africa Air Links,SLE,Z9,AFK,AFRICA LINKS,Sierra Leone,N
00130,Aeroflot Russian Airlines,RUS,SU,AFL,AEROFLOT,Russia,Y
00131,Aero Empresa Mexicana,MEX,Z9,AFO,AERO EMPRESA,Mexico,N
00132,Air Bosna,BIH,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
00133,Air Bravo,UGA,Z9,BRF,AIR BRAVO,Uganda,N
00134,Air Brasd'or,CAN,Z9,BRL,BRASD'OR,Canada,N
00135,Air 500,CAN,Z9,BRM,BOOMERANG,Canada,N
00136,Alba Servizi Aerotrasporti,ITA,Z9,AFQ,ALBA,Italy,N
00137,Air France,FRA,AF,AFR,AIRFRANS,France,Y
00138,Air Partner,GBR,Z9,ACG,AIR PARTNER,United Kingdom,N
00139,Air Caledonie International,FRA,SB,ACI,AIRCALIN,France,Y
00140,Air Caledonia,CAN,Z9,ACM,WEST CAL,Canada,N
00141,Air Guam,USA,Z9,AGM,AIR GUAM,United States,N
00142,Air Gabon,GAB,GN,AGN,GOLF NOVEMBER,Gabon,N
00143,Air Data,GBR,Z9,AFS,I999,United Kingdom,N
00144,Air Afrique Vacancies,Z99,Z9,AFV,AFRIQUE VACANCE,Ivory Coast,N
00145,Air Cargo America,USA,Z9,MVM,PEGASUS,United States,N
00146,Air Salone,SLE,2O,Z99,I999,Sierra Leone,Y
00147,Air-Angol,AGO,Z9,NGO,AIR ANGOL,Angola,N
00148,Air Nigeria,NGA,Z9,NGP,REGAL EAGLE,Nigeria,N
00149,Air Cargo Carriers,USA,2Q,SNC,NIGHT CARGO,United States,Y
00150,Air Samarkand,UZB,Z9,SND,ARSAM,Uzbekistan,N
00151,Air Senegal International,SEN,V7,SNG,AIR SENEGAL,Senegal,N
00152,Air Sandy,CAN,Z9,SNY,AIR SANDY,Canada,N
00153,Air Namibia,NAM,SW,NMB,NAMIBIA,Namibia,Y
00154,Air Intersalonika,GRC,Z9,NSK,INTERSALONIKA,Greece,N
00155,Air Anatolia,TUR,Z9,NTL,AIR ANATOLIA,Turkey,N
00156,Air Saigon,VNM,Z9,SGA,AIR SAIGON,Vietnam,N
00157,Afrique Regional Airways,Z99,Z9,AFW,AFRAIR,Ivory Coast,N
00158,Airfreight Express,GBR,Z9,AFX,,United Kingdom,N
00159,Africa Chartered Services,NGA,Z9,AFY,AFRICA CHARTERED,Nigeria,N
00160,Africa Freight Services,ZMB,Z9,AFZ,AFREIGHT,Zambia,N
00161,Aeronaves Del Centro,VEN,Z9,AGA,I999,Venezuela,N
00162,Air Service Gabon,GAB,G8,AGB,I999,Gabon,N
00163,Arab Agricultural Aviation Company,EGY,Z9,AGC,AGRICO,Egypt,N
00164,Atlantic Gulf Airlines,USA,Z9,AGF,ATLANTIC GULF,United States,N
00165,Aerolitoral,MEX,5D,SLI,COSTERA,Mexico,Y
00166,Algoma Airways,CAN,Z9,AGG,ALGOMA,Canada,N
00167,Altagna,FRA,Z9,AGH,ALTAGNA,France,N
00168,Angola Air Charter,AGO,Z9,AGO,ANGOLA CHARTER,Angola,N
00169,Angola Air Charter,AGO,Z9,AGO,ANGOLA CHARTER,Angola,N
00170,AERFI Group,IRL,Z9,AGP,AIR TARA,Ireland,N
00171,Aerogala,CHL,Z9,AGQ,GALASERVICE,Chile,N
00172,Amadeus Global Travel Distribution,ESP,1A,AGT,AMADEUS,Spain,N
00173,Angara Airlines,RUS,Z9,AGU,SARMA,Russia,N
00174,Air Glaciers,CHE,7T,AGV,AIR GLACIERS,Switzerland,Y
00175,Aero Gambia,GMB,Z9,AGW,AERO GAMBIA,Gambia,N
00176,Aviogenex,SRB,Z9,AGX,GENEX,Serbia,Y
00177,Atlantic Coast Airlines,USA,Z9,BLR,BLUE RIDGE,United States,N
00178,Aero Barloz,MEX,Z9,BLZ,AEROLOZ,Mexico,N
00179,Aeroper,PER,PL,PLI,Aeroperu,Peru,Y
00180,Atlas Blue,MAR,8A,BMM,ATLAS BLUE,Morocco,Y
00181,Aero Banobras,MEX,Z9,BNB,AEROBANOBRAS,Mexico,N
00182,Aero Flight Service,USA,Z9,AGY,FLIGHT GROUP,United States,N
00183,Agrolet-Mci,SVK,Z9,AGZ,AGROLET,Slovakia,N
00184,Air Alpha Greenland,DNK,GD,AHA,AIR ALPHA,Denmark,N
00185,Azal Avia Cargo,AZE,Z9,AHC,AZALAVIACARGO,Azerbaijan,N
00186,Airport Helicopter Basel,Z99,Z9,AHE,Muller & Co.,AIRPORT HELICOPTER,N
00187,Aeroservices Corporate,FRA,Z9,CJE,BIRD JET,France,N
00188,Aspen Helicopters,USA,Z9,AHF,ASPEN,United States,N
00189,Aerochago Airlines,DOM,Z9,AHG,AEROCHAGO,Dominican Republic,N
00190,Airplanes Holdings,IRL,Z9,AHH,AIRHOLD,Ireland,N
00191,Air Hong Kong,HKG,LD,AHK,AIR HONG KONG,Hong Kong,N
00192,Aerochiapas,MEX,Z9,AHP,AEROCHIAPAS,Mexico,N
00193,Air Adriatic,HRV,Z9,AHR,ADRIATIC,Croatia,N
00194,Air Viggi San Raffaele,ITA,Z9,AHS,AIRSAR,Italy,N
00195,ABC Air Hungary,HUN,Z9,AHU,ABC HUNGARY,Hungary,N
00196,Aeromist-Kharkiv,UKR,HT,AHW,AEROMIST,Ukraine,N
00197,Azerbaijan Airlines,AZE,J2,AHY,AZAL,Azerbaijan,Y
00198,Avies,EST,U3,AIA,AVIES,Estonia,Y
00199,Airbus Industrie,FRA,AP,AIB,AIRBUS INDUSTRIE,France,N
00200,Alpine Air Chile,CHL,Z9,AIH,ALPINE CHILE,Chile,N
00201,Air Integra,CAN,Z9,AII,INTEGRA,Canada,N
00202,ABC Aerolineas,MEX,Z9,AIJ,ABC AEROLINEAS,Mexico,N
00203,African Airlines International Limited,KEN,Z9,AIK,AFRICAN AIRLINES,Kenya,N
00204,African International Airways,SWZ,Z9,AIN,FLY CARGO,Swaziland,N
00205,Alpine Air Express,USA,5A,AIP,ALPINE AIR,United States,N
00206,Alicante Internacional Airlines,ESP,Z9,AIU,ALIA,Spain,N
00207,Aba Air,CZE,Z9,ABP,BAIR,Czech Republic,N
00208,Airblue,PAK,ED,ABQ,PAKBLUE,Pakistan,Y
00209,Airmark Aviation,THA,Z9,THM,THAI AIRMARK,Thailand,N
00210,Airlift International,USA,Z9,AIR,AIRLIFT,United States,Y
00211,Airest,EST,Z9,AIT,,Estonia,N
00212,Air Baffin,CAN,Z9,BFF,AIR BAFFIN,Canada,N
00213,Air Bandama,Z99,Z9,BDM,BANDAMA,Ivory Coast,N
00214,Air Berlin,DEU,AB,BER,AIR BERLIN,Germany,Y
00215,Air Brousse,CAN,Z9,ABT,AIR BROUSSE,Canada,N
00216,Air Contractors,IRL,AG,ABR,CONTRACT,Ireland,N
00217,Air Illinois,USA,Z9,AIL,AIR ILLINOIS,United States,N
00218,Air India Limited,IND,AI,AIC,AIRINDIA,India,Y
00219,Air Inter Gabon,GAB,Z9,AIG,,Gabon,N
00220,Air Bourbon,REU,ZB,BUB,BOURBON,Reunion,Y
00221,Air Atlanta Icelandic,ISL,CC,ABD,ATLANTA,Iceland,Y
00222,Air Inuit,CAN,Z9,AIE,AIR INUIT,Canada,N
00223,Air Sureste,ESP,Z9,AIS,SURESTE,Spain,N
00224,Air Srpska,BIH,RB,SBK,Air Srpska,Bosnia and Herzegovina,N
00225,Air Tahiti Nui,FRA,TN,THT,TAHITI AIRLINES,France,Y
00226,Airvias S/A Linhas Aereas,BRA,Z9,AIV,AIRVIAS,Brazil,N
00227,Aero Services Executive,FRA,W4,BES,BIRD EXPRESS,France,N
00228,Atlantic Island Airways,CAN,Z9,AIW,TARTAN,Canada,N
00229,Aircruising Australia,AUS,Z9,AIX,CRUISER,Australia,N
00230,Aircrew Check and Training Australia,AUS,Z9,AIY,AIRCREW,Australia,N
00231,Arkia Israel Airlines,ISR,IZ,AIZ,ARKIA,Israel,Y
00232,A J Services,GBR,Z9,AJA,AYJAY SERVICES,United Kingdom,N
00233,Aero JBR,MEX,Z9,AJB,AERO JBR,Mexico,N
00234,Aero Jet Express,MEX,Z9,AJE,JET EXPRESS,Mexico,N
00235,Avia Consult Flugbetriebs,AUT,Z9,AJF,AVIACONSULT,Austria,N
00236,Ameristar Jet Charter,USA,Z9,AJI,AMERISTAR,United States,N
00237,A2 Jet Leasing,USA,Z9,AJJ,ATLANTIC JET,United States,N
00238,Allied Air,NGA,Z9,AJK,BAMBI,Nigeria,N
00239,Air Jamaica,JAM,JM,AJM,JAMAICA,Jamaica,Y
00240,Air One,ITA,AP,ADH,HERON,Italy,Y
00241,Air Sahara,IND,S2,RSH,SAHARA,India,Y
00242,Air Malta,MLT,KM,AMC,AIR MALTA,Malta,Y
00243,Aeroejecutivo,MEX,Z9,AJO,AEROEXO,Mexico,N
00244,Aero Jets Corporativos,MEX,Z9,AJP,AEROJETS,Mexico,N
00245,Aeroejecutivos Colombia,COL,Z9,AJS,AEROEJECUTIVOS,Colombia,N
00246,Amerijet International,USA,M6,AJT,AMERIJET,United States,N
00247,Air Jetsul,PRT,Z9,AJU,AIRJETSUL,Portugal,N
00248,ANA & JP Express,JPN,Z9,AJV,AYJAY CARGO,Japan,N
00249,Alpha Jet International,USA,Z9,AJW,ALPHAJET,United States,N
00250,Air Japan,JPN,NQ,AJX,AIR JAPAN,Japan,Y
00251,Ajet,CYP,Z9,AJY,AYJET,Cyprus,N
00252,Air Korea Co. Ltd.,Z99,Z9,AKA,I999,Republic of Korea,Y
00253,Air Livonia,EST,Z9,LIV,LIVONIA,Estonia,N
00254,Air BC,CAN,Z9,ABL,AIRCOACH,Canada,N
00255,Air Fret Senegal,SEN,Z9,ABN,,Senegal,N
00256,Air Jamahiriya Company,LBY,Z9,LJA,AIR JAMAHIRIYA,Libya,N
00257,Aktjubavia,KAZ,Z9,AKB,KARAB,Kazakhstan,N
00258,Arca Aerovias Colombianas Ltda.,COL,Z9,AKC,ARCA,Colombia,N
00259,Anikay Air Company,KGZ,Z9,AKF,ANIKAY,Kyrgyzstan,N
00260,Akhal,TKM,Z9,AKH,AKHAL,Turkmenistan,N
00261,Aeromilenio,MEX,Z9,MNI,AEROMIL,Mexico,N
00262,Aklak Air,CAN,Z9,AKK,AKLAK,Canada,N
00263,Air Kiribati,KIR,4A,AKL,I999,Kiribati,Y
00264,Alkan Air,CAN,Z9,AKN,ALKAN AIR,Canada,N
00265,Angkor Airways,KHM,Z9,AKW,ANGKORWAYS,Cambodia,N
00266,Air Nippon Network Co. Ltd.,JPN,EH,AKX,ALFA WING,Japan,N
00267,AK Navigator LLC,KAZ,Z9,AKZ,ABSOLUTE,Kazakhstan,N
00268,Aero Albatros,MEX,Z9,ALB,ALBATROS,Mexico,N
00269,Albion Aviation,GBR,Z9,ALD,ALBION,United Kingdom,N
00270,Aeroalas Colombia,COL,Z9,ALE,AEROALAS,Colombia,N
00271,Allied Command Europe (Mobile Force),BEL,Z9,ALF,ACEFORCE,Belgium,N
00272,Aerotaxis Albatros,MEX,Z9,BTS,AEROLINEAS ALBATROS,Mexico,N
00273,American Flyers,USA,Z9,FYS,AMERICAN FLYERS,United States,N
00274,Aero Coach Aviation,USA,Z9,DFA,AERO COACH,United States,N
00275,Atlantic Southeast Airlines,USA,Z9,CAA,Chandler,United States,N
00276,ACM Air Charter,DEU,Z9,BVR,BAVARIAN,Germany,N
00277,Air Logistics,USA,Z9,ALG,AIRLOG,United States,N
00278,Aerovallarta,MEX,Z9,ALL,VALLARTA,Mexico,N
00279,Air ALM,ANT,Z9,ALM,ANTILLEAN,Netherlands Antilles,N
00280,Air Lincoln,USA,Z9,ALN,CHICAGO LINCOLN,United States,N
00281,America West Airlines,USA,HP,AWE,CACTUS,United States,Y
00282,Air Wisconsin,USA,ZW,AWI,AIR WISCONSIN,United States,Y
00283,Aerotransporte de Carga Union,MEX,Z9,TNO,AEROUNION,Mexico,N
00284,Aero Taxis Cessna,MEX,Z9,TND,TAXIS CESSNA,Mexico,N
00285,Arizona Express Airlines,USA,Z9,TMP,TEMPE,United States,N
00286,Tatarstan Airlines,RUS,U9,TAK,TATARSTAN,Russia,Y
00287,Allegheny Commuter Airlines,USA,Z9,ALO,ALLEGHENY,United States,Y
00288,Alpliner AG,CHE,Z9,ALP,ALPINER,Switzerland,N
00289,Altair Aviation (1986),CAN,Z9,ALQ,ALTAIR,Canada,N
00290,Air Luxor STP,STP,Z9,ALU,LUXORJET,Sao Tome and Principe,N
00291,Alas de Venezuela,VEN,Z9,ALV,ALVEN,Venezuela,N
00292,Alas Nacionales,Z99,Z9,ALW,S.A.,ALNACIONAL,N
00293,Alyeska Air Service,USA,Z9,ALY,ALYESKA,United States,N
00294,Alta Flights (Charters) Ltd.,CAN,Z9,ALZ,,Canada,N
00295,Air Sunshine,USA,Z9,RSI,AIR SUNSHINE,United States,Y
00296,ATMA,KAZ,Z9,AMA,ADIK,Kazakhstan,N
00297,Aerolineas Medellin,COL,Z9,AMD,AEROLINEAS MEDELLIN,Colombia,N
00298,Ameriflight,USA,Z9,AMF,AMFLIGHT,United States,N
00299,Air Libert,FRA,VD,Z99,I999,France,Y
00300,Air Lithuania,LTU,TT,KLA,KAUNAS,Lithuania,N
00301,Air Minas Linhas A,BRA,Z9,AMG,AIR MINAS,Brazil,N
00302,Alan Mann Helicopters Ltd.,GBR,Z9,AMH,MANN,United Kingdom,N
00303,Air Maldives,MDV,Z9,AMI,AIR MALDIVES,Maldives,N
00304,Aviation Amos,CAN,Z9,AMJ,AVIATION AMOS,Canada,N
00305,Amerer Air,AUT,Z9,AMK,AMER AIR,Austria,N
00306,Air Malawi,MWI,QM,AML,MALAWI,Malawi,Y
00307,Aeroputul International Marculesti,MDA,Z9,AMM,AEROM,Moldova,N
00308,Air Montenegro,MNE,Z9,AMN,MONTENEGRO,Montenegro,N
00309,Air Montreal (Air Holdings Inc.),CAN,Z9,AMO,AIR MONTREAL,Canada,N
00310,Aero Transporte S.A. (ATSA),PER,Z9,AMP,ATSA,Peru,N
00311,Aeromedicare Ltd.,GBR,Z9,AMQ,LIFELINE,United Kingdom,N
00312,Air Sicilia,ITA,BM,Z99,I999,Italy,Y
00313,Air Specialties Corporation,USA,Z9,AMR,AIR AM,United States,N
00314,Air Muskoka,CAN,Z9,AMS,AIR MUSKOKA,Canada,N
00315,ATA Airlines,USA,Z9,AMT,AMTRAN,United States,Y
00316,Air Macau,MAC,NX,AMU,AIR MACAO,Macao,Y
00317,AMC Airlines,EGY,Z9,AMV,I999,Egypt,Y
00318,Air Midwest,USA,ZV,AMW,AIR MIDWEST,United States,N
00319,Air Seychelles,SYC,HM,SEY,SEYCHELLES,Seychelles,Y
00320,Air Sofia,BGR,Z9,SFB,AIR SOFIA,Bulgaria,N
00321,AeroMéxico,MEX,AM,AMX,AEROMEXICO,Mexico,Y
00322,Air Ambar,DOM,Z9,AMY,AIR AMBAR,Dominican Republic,N
00323,Amiya Airline,NGA,Z9,AMZ,AMIYA AIR,Nigeria,N
00324,All Nippon Airways,JPN,NH,ANA,ALL NIPPON,Japan,Y
00325,Air Navigation And Trading Co. Ltd.,GBR,Z9,ANB,AIR NAV,United Kingdom,N
00326,Anglo Cargo,GBR,Z9,ANC,ANGLO,United Kingdom,N
00327,Air Nostrum,ESP,YW,ANE,AIR NOSTRUM,Spain,Y
00328,Air Niugini,PNG,PX,ANG,NUIGINI,Papua New Guinea,Y
00329,Air Arabia,ARE,G9,ABY,ARABIA,United Arab Emirates,Y
00330,Air Canada,CAN,AC,ACA,AIR CANADA,Canada,Y
00331,Airport Bratsk,RUS,Z9,BRP,AEROBRA,Russia,N
00332,Air Wings,MDA,Z9,BSB,ARBAS,Moldova,N
00333,Air Baltic,LVA,BT,BTI,AIRBALTIC,Latvia,Y
00334,Alajnihah for Air Transport,LBY,Z9,ANH,ALAJNIHAH,Libya,N
00335,Air Atlantic (Nig) Limited,NGA,Z9,ANI,NIGALANTIC,Nigeria,N
00336,Air Nippon,JPN,EL,ANK,ANK AIR,Japan,Y
00337,Antares Airtransport,Z99,Z9,ANM,Maintenance & Service GmbH,ANTARES,N
00338,Airnorth,AUS,TL,ANO,TOPEND,Australia,Y
00339,Aerol,COL,Z9,ANQ,ANTIOQUIA,Colombia,N
00340,Andes Lineas Aereas,ARG,Z9,ANS,AEROANDES,Argentina,N
00341,Air North Charter - Canada,CAN,4N,ANT,AIR NORTH,Canada,Y
00342,Air Nevada,USA,Z9,ANV,AIR NEVADA,United States,N
00343,AOM French Airlines,FRA,IW,AOM,French Lines,France,N
00344,Aviacion Del Noroeste,Z99,Z9,ANW,S.A. de C.V.,AVINOR,N
00345,Air New Zealand,NZL,NZ,ANZ,NEW ZEALAND,New Zealand,Y
00346,Avia Jaynar,KAZ,Z9,SAP,TOBOL,Kazakhstan,N
00347,Aero Servicios Empresariales,MEX,Z9,EMS,SERVIEMPRESARIAL,Mexico,N
00348,Alcon Servicios Aereos,Z99,Z9,AOA,S.A. de C.V.,ALCON,N
00349,AVCOM,RUS,J6,AOC,AERO AVCOM,Russia,N
00350,Aero Vodochody,CZE,Z9,AOD,AERO CZECH,Czech Republic,N
00351,Air One Executive,ITA,Z9,AOE,,Italy,N
00352,Atair Pty Ltd.,ZAF,Z9,AOF,ATAIR,South Africa,N
00353,Aero VIP,ARG,2D,AOG,AVIP,Argentina,N
00354,Aeromundo Ejecutivo,MEX,Z9,MUN,AEROMUNDO,Mexico,N
00355,Aerolinea Muri,MEX,Z9,MUR,MURI,Mexico,N
00356,Astoria,Z99,Z9,AOI,Inc.,ASTORIA,N
00357,Aero Rent JSC,RUS,Z9,NRO,AEROMASTER,Russia,N
00358,Aeronord-Grup,MDA,Z9,NRP,AERONORD,Moldova,N
00359,Aeroatlantico Colombia,COL,Z9,AOK,I999,Colombia,N
00360,Angkor Airlines,KHM,Z9,AOL,ANGKOR AIR,Cambodia,N
